sample,time,outcome,cumulative
0,0,-1,0
0,1,-1,-2
0,2,1,-1
0,3,-1,-2
0,4,-1,-3
0,5,-1,-4
0,6,-1,-5
0,7,-1,-6
0,8,1,-5
0,9,-1,-6
0,10,-1,-7
0,11,1,-6
0,12,1,-5
0,13,-1,-6
0,14,-1,-7
0,15,1,-6
0,16,1,-5
0,17,1,-4
0,18,-1,-5
0,19,-1,-6
0,20,1,-5
0,21,1,-4
0,22,1,-3
0,23,1,-2
0,24,1,-1
0,25,-1,-2
0,26,-1,-3
0,27,-1,-4
0,28,-1,-5
0,29,1,-4
0,30,1,-3
0,31,-1,-4
0,32,1,-3
0,33,-1,-4
0,34,-1,-5
0,35,1,-4
0,36,1,-3
0,37,1,-2
0,38,1,-1
0,39,-1,-2
0,40,-1,-3
0,41,1,-2
0,42,1,-1
0,43,1,0
0,44,1,1
0,45,1,2
0,46,1,3
0,47,1,4
0,48,-1,3
0,49,-1,2
0,50,1,3
0,51,-1,2
0,52,1,3
0,53,1,4
0,54,-1,3
0,55,-1,2
0,56,1,3
0,57,-1,2
0,58,-1,1
0,59,1,2
0,60,1,3
0,61,1,4
0,62,-1,3
0,63,1,4
0,64,1,5
0,65,1,6
0,66,1,7
0,67,1,8
0,68,1,9
0,69,1,10
0,70,1,11
0,71,1,12
0,72,1,13
0,73,1,14
0,74,-1,13
0,75,1,14
0,76,-1,13
0,77,-1,12
0,78,1,13
0,79,-1,12
0,80,1,13
0,81,-1,12
0,82,-1,11
0,83,-1,10
0,84,-1,9
0,85,-1,8
0,86,1,9
0,87,1,10
0,88,1,11
0,89,1,12
0,90,-1,11
0,91,-1,10
0,92,1,11
0,93,-1,10
0,94,1,11
0,95,-1,10
0,96,1,11
0,97,-1,10
0,98,1,11
0,99,1,12
0,100,-1,11
0,101,1,12
0,102,-1,11
0,103,-1,10
0,104,1,11
0,105,1,12
0,106,-1,11
0,107,1,12
0,108,-1,11
0,109,1,12
0,110,1,13
0,111,1,14
0,112,1,15
0,113,-1,14
0,114,1,15
0,115,1,16
0,116,-1,15
0,117,1,16
0,118,1,17
0,119,1,18
0,120,-1,17
0,121,1,18
0,122,-1,17
0,123,1,18
0,124,-1,17
0,125,-1,16
0,126,1,17
0,127,-1,16
0,128,1,17
0,129,-1,16
0,130,1,17
0,131,-1,16
0,132,1,17
0,133,1,18
0,134,-1,17
0,135,1,18
0,136,1,19
0,137,1,20
0,138,1,21
0,139,-1,20
0,140,1,21
0,141,-1,20
0,142,1,21
0,143,-1,20
0,144,-1,19
0,145,-1,18
0,146,1,19
0,147,-1,18
0,148,1,19
0,149,1,20
0,150,1,21
0,151,-1,20
0,152,-1,19
0,153,-1,18
0,154,-1,17
0,155,-1,16
0,156,1,17
0,157,1,18
0,158,1,19
0,159,1,20
0,160,-1,19
0,161,1,20
0,162,1,21
0,163,1,22
0,164,1,23
0,165,1,24
0,166,-1,23
0,167,-1,22
0,168,-1,21
0,169,1,22
0,170,1,23
0,171,1,24
0,172,-1,23
0,173,1,24
0,174,1,25
0,175,-1,24
0,176,-1,23
0,177,-1,22
0,178,1,23
0,179,-1,22
0,180,-1,21
0,181,-1,20
0,182,1,21
0,183,-1,20
0,184,1,21
0,185,1,22
0,186,-1,21
0,187,1,22
0,188,-1,21
0,189,1,22
0,190,1,23
0,191,-1,22
0,192,1,23
0,193,-1,22
0,194,1,23
0,195,1,24
0,196,1,25
0,197,1,26
0,198,1,27
0,199,1,28
0,200,-1,27
0,201,-1,26
0,202,1,27
0,203,-1,26
0,204,1,27
0,205,-1,26
0,206,-1,25
0,207,1,26
0,208,1,27
0,209,1,28
0,210,-1,27
0,211,-1,26
0,212,-1,25
0,213,-1,24
0,214,-1,23
0,215,-1,22
0,216,1,23
0,217,1,24
0,218,-1,23
0,219,1,24
0,220,-1,23
0,221,-1,22
0,222,1,23
0,223,1,24
0,224,1,25
0,225,1,26
0,226,-1,25
0,227,-1,24
0,228,-1,23
0,229,-1,22
0,230,1,23
0,231,1,24
0,232,1,25
0,233,-1,24
0,234,1,25
0,235,1,26
0,236,1,27
0,237,-1,26
0,238,-1,25
0,239,1,26
0,240,-1,25
0,241,1,26
0,242,1,27
0,243,-1,26
0,244,1,27
0,245,1,28
0,246,1,29
0,247,1,30
0,248,1,31
0,249,1,32
0,250,-1,31
0,251,-1,30
0,252,1,31
0,253,1,32
0,254,-1,31
0,255,1,32
0,256,-1,31
0,257,-1,30
0,258,1,31
0,259,1,32
0,260,-1,31
0,261,-1,30
0,262,1,31
0,263,1,32
0,264,1,33
0,265,-1,32
0,266,-1,31
0,267,-1,30
0,268,1,31
0,269,-1,30
0,270,1,31
0,271,-1,30
0,272,1,31
0,273,-1,30
0,274,-1,29
0,275,-1,28
0,276,-1,27
0,277,1,28
0,278,-1,27
0,279,-1,26
0,280,1,27
0,281,-1,26
0,282,-1,25
0,283,1,26
0,284,-1,25
0,285,-1,24
0,286,-1,23
0,287,-1,22
0,288,1,23
0,289,-1,22
0,290,-1,21
0,291,-1,20
0,292,-1,19
0,293,1,20
0,294,1,21
0,295,1,22
0,296,-1,21
0,297,-1,20
0,298,-1,19
0,299,-1,18
0,300,-1,17
0,301,-1,16
0,302,-1,15
0,303,1,16
0,304,-1,15
0,305,1,16
0,306,-1,15
0,307,1,16
0,308,-1,15
0,309,-1,14
0,310,-1,13
0,311,-1,12
0,312,1,13
0,313,-1,12
0,314,1,13
0,315,-1,12
0,316,1,13
0,317,-1,12
0,318,1,13
0,319,1,14
0,320,1,15
0,321,1,16
0,322,1,17
0,323,1,18
0,324,-1,17
0,325,-1,16
0,326,1,17
0,327,-1,16
0,328,1,17
0,329,1,18
0,330,1,19
0,331,1,20
0,332,1,21
0,333,-1,20
0,334,1,21
0,335,-1,20
0,336,-1,19
0,337,1,20
0,338,-1,19
0,339,-1,18
0,340,-1,17
0,341,-1,16
0,342,1,17
0,343,-1,16
0,344,1,17
0,345,1,18
0,346,-1,17
0,347,-1,16
0,348,1,17
0,349,-1,16
0,350,-1,15
0,351,1,16
0,352,-1,15
0,353,1,16
0,354,-1,15
0,355,1,16
0,356,1,17
0,357,-1,16
0,358,1,17
0,359,1,18
0,360,-1,17
0,361,1,18
0,362,1,19
0,363,1,20
0,364,-1,19
0,365,1,20
0,366,-1,19
0,367,1,20
0,368,1,21
0,369,-1,20
0,370,-1,19
0,371,-1,18
0,372,-1,17
0,373,1,18
0,374,-1,17
0,375,1,18
0,376,1,19
0,377,1,20
0,378,1,21
0,379,-1,20
0,380,1,21
0,381,1,22
0,382,-1,21
0,383,-1,20
0,384,-1,19
0,385,-1,18
0,386,-1,17
0,387,1,18
0,388,-1,17
0,389,1,18
0,390,-1,17
0,391,1,18
0,392,1,19
0,393,-1,18
0,394,1,19
0,395,1,20
0,396,-1,19
0,397,-1,18
0,398,-1,17
0,399,-1,16
0,400,-1,15
0,401,-1,14
0,402,-1,13
0,403,-1,12
0,404,1,13
0,405,-1,12
0,406,-1,11
0,407,-1,10
0,408,1,11
0,409,1,12
0,410,-1,11
0,411,-1,10
0,412,1,11
0,413,-1,10
0,414,-1,9
0,415,-1,8
0,416,1,9
0,417,-1,8
0,418,1,9
0,419,-1,8
0,420,-1,7
0,421,1,8
0,422,-1,7
0,423,1,8
0,424,1,9
0,425,1,10
0,426,-1,9
0,427,1,10
0,428,1,11
0,429,1,12
0,430,1,13
0,431,1,14
0,432,-1,13
0,433,-1,12
0,434,-1,11
0,435,1,12
0,436,-1,11
0,437,-1,10
0,438,-1,9
0,439,1,10
0,440,-1,9
0,441,1,10
0,442,1,11
0,443,1,12
0,444,-1,11
0,445,-1,10
0,446,1,11
0,447,1,12
0,448,-1,11
0,449,1,12
0,450,1,13
0,451,1,14
0,452,1,15
0,453,-1,14
0,454,1,15
0,455,-1,14
0,456,-1,13
0,457,-1,12
0,458,1,13
0,459,-1,12
0,460,-1,11
0,461,1,12
0,462,-1,11
0,463,-1,10
0,464,1,11
0,465,-1,10
0,466,-1,9
0,467,-1,8
0,468,1,9
0,469,1,10
0,470,-1,9
0,471,-1,8
0,472,1,9
0,473,-1,8
0,474,1,9
0,475,1,10
0,476,-1,9
0,477,1,10
0,478,1,11
0,479,-1,10
0,480,-1,9
0,481,-1,8
0,482,1,9
0,483,1,10
0,484,1,11
0,485,-1,10
0,486,-1,9
0,487,-1,8
0,488,1,9
0,489,-1,8
0,490,1,9
0,491,-1,8
0,492,1,9
0,493,1,10
0,494,-1,9
0,495,1,10
0,496,-1,9
0,497,-1,8
0,498,1,9
0,499,1,10
0,500,-1,9
0,501,-1,8
0,502,1,9
0,503,-1,8
0,504,-1,7
0,505,-1,6
0,506,-1,5
0,507,-1,4
0,508,-1,3
0,509,-1,2
0,510,-1,1
0,511,-1,0
0,512,1,1
0,513,1,2
0,514,-1,1
0,515,1,2
0,516,1,3
0,517,-1,2
0,518,-1,1
0,519,-1,0
0,520,-1,-1
0,521,1,0
0,522,-1,-1
0,523,1,0
0,524,1,1
0,525,1,2
0,526,1,3
0,527,1,4
0,528,-1,3
0,529,1,4
0,530,-1,3
0,531,1,4
0,532,-1,3
0,533,-1,2
0,534,1,3
0,535,1,4
0,536,-1,3
0,537,-1,2
0,538,1,3
0,539,-1,2
0,540,1,3
0,541,-1,2
0,542,1,3
0,543,1,4
0,544,-1,3
0,545,1,4
0,546,1,5
0,547,1,6
0,548,1,7
0,549,-1,6
0,550,1,7
0,551,-1,6
0,552,-1,5
0,553,1,6
0,554,-1,5
0,555,1,6
0,556,1,7
0,557,-1,6
0,558,-1,5
0,559,-1,4
0,560,1,5
0,561,-1,4
0,562,1,5
0,563,1,6
0,564,-1,5
0,565,-1,4
0,566,1,5
0,567,1,6
0,568,1,7
0,569,1,8
0,570,1,9
0,571,1,10
0,572,1,11
0,573,-1,10
0,574,1,11
0,575,-1,10
0,576,-1,9
0,577,1,10
0,578,1,11
0,579,-1,10
0,580,-1,9
0,581,-1,8
0,582,-1,7
0,583,-1,6
0,584,-1,5
0,585,1,6
0,586,1,7
0,587,1,8
0,588,-1,7
0,589,1,8
0,590,1,9
0,591,-1,8
0,592,-1,7
0,593,1,8
0,594,1,9
0,595,-1,8
0,596,1,9
0,597,-1,8
0,598,1,9
0,599,1,10
0,600,-1,9
0,601,-1,8
0,602,-1,7
0,603,-1,6
0,604,1,7
0,605,-1,6
0,606,1,7
0,607,-1,6
0,608,-1,5
0,609,-1,4
0,610,1,5
0,611,-1,4
0,612,-1,3
0,613,1,4
0,614,1,5
0,615,1,6
0,616,-1,5
0,617,1,6
0,618,1,7
0,619,-1,6
0,620,-1,5
0,621,-1,4
0,622,1,5
0,623,1,6
0,624,1,7
0,625,1,8
0,626,-1,7
0,627,-1,6
0,628,-1,5
0,629,-1,4
0,630,-1,3
0,631,1,4
0,632,-1,3
0,633,1,4
0,634,-1,3
0,635,-1,2
0,636,1,3
0,637,-1,2
0,638,1,3
0,639,1,4
0,640,1,5
0,641,1,6
0,642,1,7
0,643,-1,6
0,644,-1,5
0,645,-1,4
0,646,-1,3
0,647,1,4
0,648,-1,3
0,649,1,4
0,650,-1,3
0,651,-1,2
0,652,-1,1
0,653,1,2
0,654,1,3
0,655,1,4
0,656,1,5
0,657,1,6
0,658,1,7
0,659,-1,6
0,660,-1,5
0,661,-1,4
0,662,-1,3
0,663,-1,2
0,664,1,3
0,665,1,4
0,666,-1,3
0,667,1,4
0,668,1,5
0,669,1,6
0,670,1,7
0,671,1,8
0,672,-1,7
0,673,1,8
0,674,1,9
0,675,1,10
0,676,1,11
0,677,1,12
0,678,-1,11
0,679,-1,10
0,680,1,11
0,681,-1,10
0,682,-1,9
0,683,-1,8
0,684,-1,7
0,685,-1,6
0,686,1,7
0,687,1,8
0,688,-1,7
0,689,1,8
0,690,-1,7
0,691,1,8
0,692,-1,7
0,693,1,8
0,694,-1,7
